current,R,G,B
0.001293,0.396,0.000,0.000
0.002849,0.396,0.000,0.639
0.001178,0.000,0.000,0.000
0.002518,0.396,0.639,0.000
0.008279,0.396,0.396,0.639
0.002792,0.639,0.000,0.396
0.025820,0.639,0.639,0.396
0.007671,0.396,0.396,0.639
0.001824,0.396,0.000,0.396
0.003633,0.396,0.396,0.396
0.042580,0.639,0.639,0.639
0.044115,0.639,0.639,0.639
0.008693,0.396,0.396,0.639
0.001480,0.396,0.000,0.000
0.017392,0.639,0.396,0.639
0.008777,0.396,0.396,0.639
0.002157,0.396,0.639,0.000
0.001839,0.396,0.396,0.000
0.004163,0.396,0.396,0.396
0.001400,0.396,0.000,0.000
0.019683,0.639,0.396,0.639
0.001674,0.000,0.396,0.000
0.009119,0.396,0.396,0.639
0.004296,0.639,0.639,0.000
0.002277,0.639,0.396,0.000
0.001800,0.396,0.396,0.000
0.014197,0.396,0.639,0.639
0.012645,0.396,0.639,0.639
0.003902,0.639,0.000,0.639
0.023593,0.639,0.639,0.396
0.003562,0.639,0.000,0.639
0.013301,0.396,0.639,0.639
0.001486,0.000,0.639,0.000
0.002343,0.396,0.000,0.639
0.008703,0.396,0.396,0.639
0.015359,0.639,0.396,0.639
0.001691,0.000,0.639,0.000
0.007894,0.396,0.396,0.639
0.007002,0.639,0.396,0.396
0.023640,0.639,0.639,0.396
0.001626,0.639,0.000,0.000
0.001518,0.396,0.000,0.000
0.008122,0.639,0.396,0.396
0.002569,0.639,0.000,0.396
0.014321,0.396,0.639,0.639
0.003886,0.639,0.000,0.639
0.001076,0.000,0.000,0.000
0.015127,0.639,0.396,0.639
0.007778,0.639,0.396,0.396
0.008010,0.639,0.396,0.396
0.001547,0.396,0.000,0.000
0.004219,0.000,0.396,0.639
0.006056,0.396,0.639,0.396
0.004646,0.000,0.639,0.396
0.008029,0.000,0.639,0.639
0.003965,0.396,0.396,0.396
0.014735,0.396,0.639,0.639
0.002009,0.396,0.396,0.000
0.006798,0.000,0.639,0.639
0.001562,0.000,0.000,0.639
0.001192,0.000,0.000,0.000
0.002201,0.639,0.396,0.000
0.002166,0.639,0.396,0.000
0.006815,0.396,0.639,0.396
0.001918,0.396,0.396,0.000
0.003909,0.639,0.000,0.639
