current,R,G,B,rgb unique combination
0.101828, 255,   0, 195,1
0.069687,   0,   0,   0,5
0.099313,   0, 225, 195,3
0.085524,   0, 225,   0,0
0.117992, 255, 225, 195,7
0.088273, 255,   0,   0,6
0.117829, 255, 225, 195,7
0.085408,   0, 225,   0,0
0.099243,   0, 225, 195,3
0.069663,   0,   0,   0,5
0.099359,   0, 225, 195,3
0.117806, 255, 225, 195,7
0.083195,   0,   0, 195,4
0.069687,   0,   0,   0,5
0.099383,   0, 225, 195,3
0.104018, 255, 225,   0,2
0.117806, 255, 225, 195,7
0.099080,   0, 225, 195,3
0.085431,   0, 225,   0,0
0.088273, 255,   0,   0,6
0.104064, 255, 225,   0,2
0.101921, 255,   0, 195,1
0.083102,   0,   0, 195,4
0.117922, 255, 225, 195,7
0.083079,   0,   0, 195,4
0.088319, 255,   0,   0,6
0.085478,   0, 225,   0,0
0.099336,   0, 225, 195,3
0.069733,   0,   0,   0,5
0.118248, 255, 225, 195,7
0.069733,   0,   0,   0,5
0.088459, 255,   0,   0,6
0.104204, 255, 225,   0,2
0.101921, 255,   0, 195,1
0.088273, 255,   0,   0,6
0.104018, 255, 225,   0,2
0.069640,   0,   0,   0,5
0.083149,   0,   0, 195,4
0.085571,   0, 225,   0,0
0.099220,   0, 225, 195,3
0.088296, 255,   0,   0,6
0.099290,   0, 225, 195,3
0.117829, 255, 225, 195,7
0.088226, 255,   0,   0,6
0.117806, 255, 225, 195,7
0.101735, 255,   0, 195,1
0.083056,   0,   0, 195,4
0.117922, 255, 225, 195,7
0.103901, 255, 225,   0,2
0.099150,   0, 225, 195,3
0.085431,   0, 225,   0,0
0.083149,   0,   0, 195,4
0.085571,   0, 225,   0,0
0.102038, 255,   0, 195,1
0.083126,   0,   0, 195,4
0.101921, 255,   0, 195,1
0.104018, 255, 225,   0,2
0.083242,   0,   0, 195,4
0.102061, 255,   0, 195,1
0.117806, 255, 225, 195,7
0.103878, 255, 225,   0,2
0.088226, 255,   0,   0,6
0.099173,   0, 225, 195,3
0.083358,   0,   0, 195,4
0.069663,   0,   0,   0,5
0.118085, 255, 225, 195,7
0.099150,   0, 225, 195,3
0.083102,   0,   0, 195,4
